Creator,Beauty,Emotion,Effort,Worth
Human-made,3,4,5,3
Human-made,5,5,5,5
Human-made,4,2,4,2
Human-made,5,3,4,3
Human-made,4,4,5,2
Human-made,4,4,4,4
Human-made,4,4,4,4
Human-made,4,4,5,3
Human-made,4,3,4,3
Human-made,4,4,5,4
Human-made,4,4,3,3
Human-made,5,3,4,4
Human-made,4,3,4,4
Human-made,4,4,4,4
Human-made,3,1,4,3
Human-made,3,2,3,2
Human-made,4,3,4,3
Human-made,3,2,3,3
Human-made,4,2,3,3
AI-generated,4,1,5,3
AI-generated,4,5,5,5
AI-generated,2,1,2,1
AI-generated,4,3,2,2
AI-generated,3,3,4,2
AI-generated,3,2,4,2
AI-generated,2,2,1,1
AI-generated,2,1,1,1
AI-generated,3,2,2,2
AI-generated,5,5,4,3
AI-generated,2,2,2,1
AI-generated,3,3,3,3
AI-generated,3,3,2,3
AI-generated,4,3,3,3
AI-generated,3,1,3,1
AI-generated,2,2,1,1
AI-generated,3,2,4,3
AI-generated,2,2,2,2
AI-generated,1,4,2,2
Human-made,5,1,4,3
Human-made,4,4,4,4
Human-made,4,1,4,2
Human-made,3,2,2,4
Human-made,4,4,5,3
Human-made,3,3,4,2
Human-made,4,3,5,4
Human-made,2,1,3,2
Human-made,4,4,5,4
Human-made,3,3,2,2
Human-made,4,3,4,3
Human-made,5,4,5,4
Human-made,4,3,5,4
Human-made,4,3,3,3
Human-made,3,1,5,2
Human-made,3,2,5,3
Human-made,4,4,4,3
Human-made,4,3,4,3
Human-made,4,3,5,3
AI-generated,5,3,3,3
AI-generated,4,4,4,4
AI-generated,3,2,2,1
AI-generated,3,2,2,2
AI-generated,4,4,3,4
AI-generated,4,2,3,2
AI-generated,3,3,2,3
AI-generated,1,1,1,1
AI-generated,4,3,4,3
AI-generated,4,2,3,2
AI-generated,3,2,1,2
AI-generated,4,3,3,3
AI-generated,4,3,3,3
AI-generated,2,3,3,2
AI-generated,5,1,5,1
AI-generated,1,1,1,1
AI-generated,4,2,4,3
AI-generated,2,2,2,1
AI-generated,2,2,2,1
AI-generated,5,1,5,4
AI-generated,5,5,5,5
AI-generated,4,2,4,3
AI-generated,5,4,3,4
AI-generated,3,2,3,2
AI-generated,3,4,4,2
AI-generated,5,4,4,4
AI-generated,1,1,1,1
AI-generated,4,3,4,3
AI-generated,5,4,3,3
AI-generated,3,3,3,2
AI-generated,4,4,3,3
AI-generated,3,2,3,3
AI-generated,4,3,2,2
AI-generated,3,3,1,2
AI-generated,4,1,4,4
AI-generated,3,3,2,3
AI-generated,2,2,2,2
Human-made,5,3,3,3
Human-made,3,4,5,4
Human-made,4,2,3,2
Human-made,5,4,5,4
Human-made,5,4,5,4
Human-made,3,3,5,3
Human-made,5,4,5,5
Human-made,5,2,5,3
Human-made,4,4,4,3
Human-made,5,5,4,4
Human-made,5,4,5,5
Human-made,5,5,5,5
Human-made,5,4,5,5
Human-made,4,2,2,2
Human-made,5,1,5,3
Human-made,3,3,5,3
Human-made,5,1,5,4
Human-made,4,4,4,4
Human-made,4,2,4,4
AI-generated,5,5,5,5
AI-generated,4,4,3,3
AI-generated,2,1,1,2
AI-generated,5,4,5,4
AI-generated,3,3,2,3
AI-generated,3,2,2,2
AI-generated,3,2,2,3
AI-generated,3,3,3,3
AI-generated,4,3,4,4
AI-generated,3,2,2,2
AI-generated,3,1,1,1
AI-generated,4,3,3,3
AI-generated,2,3,3,2
AI-generated,4,4,4,3
AI-generated,3,3,2,1
AI-generated,3,2,2,2
AI-generated,2,2,4,2
AI-generated,3,2,2,2
AI-generated,1,1,1,1
Human-made,5,5,3,4
Human-made,4,1,4,4
Human-made,4,3,5,4
Human-made,4,3,4,4
Human-made,3,3,4,2
Human-made,4,4,4,4
Human-made,4,2,3,2
Human-made,5,4,4,4
Human-made,4,4,4,4
Human-made,5,5,5,4
Human-made,5,3,3,3
Human-made,3,3,4,3
Human-made,4,4,4,4
Human-made,4,1,3,2
Human-made,3,2,4,3
Human-made,5,3,5,4
Human-made,5,4,4,4
Human-made,1,1,1,1
Human-made,5,2,4,3
Human-made,5,5,5,5
Human-made,3,3,3,2
Human-made,5,3,5,4
Human-made,4,4,4,3
Human-made,4,3,5,4
Human-made,4,4,4,4
Human-made,4,2,4,2
Human-made,4,2,3,3
Human-made,4,4,4,4
Human-made,3,3,3,2
Human-made,5,4,4,4
Human-made,4,4,5,3
Human-made,4,2,3,3
Human-made,5,2,3,3
Human-made,3,2,4,3
Human-made,2,1,4,1
Human-made,4,2,3,3
Human-made,3,1,3,2
AI-generated,5,5,5,4
AI-generated,4,4,4,4
AI-generated,3,2,3,2
AI-generated,4,3,4,3
AI-generated,3,2,3,2
AI-generated,3,2,3,2
AI-generated,3,3,4,3
AI-generated,1,1,1,1
AI-generated,4,2,3,3
AI-generated,4,4,4,4
AI-generated,3,2,2,2
AI-generated,5,4,4,4
AI-generated,3,2,3,3
AI-generated,3,2,2,2
AI-generated,3,1,3,1
AI-generated,3,2,2,2
AI-generated,4,1,4,4
AI-generated,2,2,2,1
AI-generated,2,1,1,1
Human-made,3,3,3,3
Human-made,5,5,5,5
Human-made,2,3,3,1
AI-generated,2,3,3,3
Human-made,3,3,3,2
Human-made,3,3,3,3
Human-made,2,3,2,1
Human-made,3,3,3,3
Human-made,3,3,3,3
Human-made,3,3,4,3
Human-made,4,4,3,3
Human-made,3,3,3,3
Human-made,2,3,3,2
Human-made,2,4,3,1
Human-made,2,3,2,2
Human-made,2,3,3,2
Human-made,2,1,1,1
AI-generated,5,5,3,4
AI-generated,3,3,3,3
AI-generated,2,1,1,1
AI-generated,2,2,1,2
AI-generated,3,4,5,2
AI-generated,4,4,4,3
AI-generated,4,3,4,3
AI-generated,1,1,1,1
AI-generated,3,2,2,2
AI-generated,4,4,4,4
AI-generated,3,3,2,2
AI-generated,4,4,3,3
AI-generated,2,2,2,2
AI-generated,4,3,3,3
AI-generated,2,1,5,1
AI-generated,1,1,1,1
AI-generated,3,4,4,2
AI-generated,2,3,2,2
AI-generated,3,2,2,2
AI-generated,5,1,4,2
AI-generated,5,5,5,5
AI-generated,3,2,3,3
AI-generated,5,3,5,4
AI-generated,4,4,3,3
AI-generated,3,1,3,2
AI-generated,4,3,4,4
AI-generated,2,1,1,1
AI-generated,4,2,3,3
AI-generated,4,4,4,4
AI-generated,4,3,3,2
AI-generated,4,4,3,3
AI-generated,3,2,2,3
AI-generated,4,2,4,4
AI-generated,4,1,5,1
AI-generated,3,1,2,2
AI-generated,5,3,3,4
AI-generated,3,2,2,2
AI-generated,2,1,1,1
Human-made,4,3,2,1
Human-made,4,4,4,4
Human-made,3,3,3,2
Human-made,4,2,3,3
Human-made,4,4,4,3
Human-made,3,4,4,3
Human-made,5,5,4,4
Human-made,2,2,3,3
Human-made,3,2,3,3
Human-made,2,2,2,2
Human-made,4,3,4,3
Human-made,4,4,4,3
Human-made,3,3,3,3
Human-made,3,2,3,3
Human-made,3,2,3,1
Human-made,2,1,2,2
Human-made,3,1,2,3
Human-made,4,4,3,3
Human-made,3,1,1,1
AI-generated,5,5,5,5
AI-generated,4,4,4,4
AI-generated,2,1,3,1
AI-generated,4,2,4,4
AI-generated,3,2,2,2
AI-generated,4,1,4,2
AI-generated,4,3,5,4
AI-generated,1,1,1,1
AI-generated,3,3,3,2
AI-generated,4,4,4,4
AI-generated,4,4,4,3
AI-generated,5,5,5,5
AI-generated,2,2,2,2
AI-generated,3,4,4,4
AI-generated,1,1,3,1
AI-generated,3,3,2,2
AI-generated,4,1,5,2
AI-generated,4,3,2,2
AI-generated,2,1,1,1
Human-made,3,1,1,1
Human-made,5,5,5,5
Human-made,2,1,1,1
Human-made,4,3,3,3
Human-made,3,3,3,2
Human-made,2,2,2,1
Human-made,3,3,3,3
Human-made,1,1,1,1
Human-made,3,2,2,2
Human-made,5,2,2,2
Human-made,4,4,4,2
Human-made,5,5,4,3
Human-made,2,2,2,2
Human-made,3,3,3,3
Human-made,1,1,1,1
Human-made,1,1,1,2
Human-made,4,2,2,2
Human-made,3,3,4,2
Human-made,1,1,1,1
